Kimlik,Tür,"Stok kodu (SKU)","GTIN, UPC, EAN veya ISBN",İsim,Yayımlanmış,"Öne çıkan?","Katalogda görünürlük","Kısa açıklama",Açıklama,"İndirimli fiyatın başladığı tarih","İndirimli fiyatın bittiği tarih","Vergi durumu","Vergi sınıfı",Stokta?,Stok,"Düşük stok miktarı","Ön Siparişe İzin Ver?","Ayrı ayrı mı satılıyor?","Ağırlık (kg)","Uzunluk (cm)","Genişlik (cm)","Yükseklik (cm)","Müşteri değerlendirmelerine izin verilsin mi?","Satın alma notu","İndirimli satış fiyatı","Normal fiyat",Kategoriler,Etiketler,"Gönderim sınıfı",Görseller,"İndirme sınırı","İndirme sona erme günü",Ebeveyn,"Gruplanmış ürünler","Yukarı satışlar","Çapraz satışlar","Harici URL","Düğme metni",Konum,Markalar,"Meta: _wp_page_template","Meta: _product_video_gallery","Meta: _product_video_code","Meta: _product_video_autoplay","Meta: _et_quantity_type","Meta: _et_quantity_ranges","Meta: _sale_price_time_start","Meta: _sale_price_time_end","Meta: _et_gtin","Meta: _et_primary_category","Meta: _et_sale_counter","Meta: _et_single_layout","Meta: _et_additional_block","Meta: _et_product_slider","Meta: _et_single_thumbnail_hover","Meta: _et_product_view_hover","Meta: _et_product_view_color","Meta: _et_product_video_thumbnail","Meta: _yoast_wpseo_primary_brand","Meta: _yoast_wpseo_primary_product_brand","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_estimated-reading-time-minutes"
59444,simple,,,"MİRTECH 1801 HD MİNİ UYDU ALICISI",-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1088,1","Diğerleri, Elektronik, Elektronik > Uydu Sistemleri > Uydu Alıcılar, Elektronik > Uydu Sistemleri",,,https://baserelektrik.com/wp-content/uploads/2025/12/4856.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
59474,simple,,,"MAGBOX CRYSTAL CİHAZ ÜZERİNDEN DISPLAY+TUŞLU MODEL TKGSLİ MINI HD UYDU ALICISI",-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1210,5","Diğerleri, Elektronik, Elektronik > Uydu Sistemleri > Uydu Alıcılar, Elektronik > Uydu Sistemleri",,,https://baserelektrik.com/wp-content/uploads/2025/12/22987.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
59475,simple,,,"MAGBOX FEDERAL MİNİ HD + SCART TKGSLİ UYDU ALICISI",-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1425,6","Diğerleri, Elektronik, Elektronik > Uydu Sistemleri > Uydu Alıcılar, Elektronik > Uydu Sistemleri",,,https://baserelektrik.com/wp-content/uploads/2025/12/22988.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
59476,simple,,,"HIREMCO TURBO PRO 4GB RAM 256 MB DAHİLİ HAFIZA LINUX TABANLI DAHİLİ WİFİ FULL HD MİNİ UYDU ALICISI",-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,5616,"Diğerleri, Elektronik, Elektronik > Uydu Sistemleri > Uydu Alıcılar, Elektronik > Uydu Sistemleri",,,https://baserelektrik.com/wp-content/uploads/2025/12/10393.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
59498,simple,,,"MAGBOX MAGROID SCARLET 16 GB HDD 2 GB RAM 2.4G H313 CPU ANDROID TV BOX",-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"2380,5","Diğerleri, Elektronik, Elektronik > Uydu Sistemleri > Uydu Alıcılar, Elektronik > Uydu Sistemleri",,,https://baserelektrik.com/wp-content/uploads/2025/12/26743-1.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
59499,simple,,,"MAGBOX SCART PLUS TKGSLİ MİNİ SD SCART UYDU ALICISI",-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"959,4","Diğerleri, Elektronik, Elektronik > Uydu Sistemleri > Uydu Alıcılar, Elektronik > Uydu Sistemleri",,,https://baserelektrik.com/wp-content/uploads/2025/12/5839-1.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
59501,simple,,,"RİOSAT M5 2GB RAM 16GB FLASH 64 BIT QUAD-CORE S905X 4K ANDROID 9 TV BOX",-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"4850,1","Diğerleri, Elektronik, Elektronik > Uydu Sistemleri > Uydu Alıcılar, Elektronik > Uydu Sistemleri",,,https://baserelektrik.com/wp-content/uploads/2025/12/ResimYok.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
59505,simple,,,"MAGBOX T95 MAX 4 GB DDR3 RAM 32 GB HAFIZA DAHİLİ WİFİ NETFLIX 6K ANDROID TV BOX",-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,5724,"Diğerleri, Elektronik, Elektronik > Uydu Sistemleri > Uydu Alıcılar, Elektronik > Uydu Sistemleri",,,https://baserelektrik.com/wp-content/uploads/2025/12/2245.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
59528,simple,,,"MAGBOX T95 ZPLUS S912 2 GB DDR3 RAM 16 GB HAFIZA DAHİLİ WIFI NETFLIX 4K ANDROID TV BOX",-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4680,"Diğerleri, Elektronik, Elektronik > Uydu Sistemleri > Uydu Alıcılar, Elektronik > Uydu Sistemleri",,,https://baserelektrik.com/wp-content/uploads/2025/12/2241.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
59530,simple,,,"MAGBOX MAGROID U1 16GB HDD 2GB RAM 4K TV BOX (ANDROID 9.1)",-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"4217,4","Diğerleri, Elektronik, Elektronik > Uydu Sistemleri > Uydu Alıcılar, Elektronik > Uydu Sistemleri",,,https://baserelektrik.com/wp-content/uploads/2025/12/6247.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
